,Date,ExitDate,Stock,Return,Profit
487,2020-11-11,2020-11-18,6150_撼訊,0.27906348638642564,1116253.9455457025
488,2020-11-11,2020-11-18,2727_王品,0.20090365975644775,803614.639025791
489,2020-11-11,2020-11-18,8086_宏捷科,0.17703754987798903,708150.1995119561
490,2020-11-18,2020-11-25,6443_元晶,0.3395581424998235,1358232.5699992941
491,2020-11-18,2020-11-25,3228_金麗科,0.3394185720946885,1357674.288378754
492,2020-11-18,2020-11-25,5386_青雲,0.32090520890159735,1283620.8356063894
493,2020-11-18,2020-11-25,6533_晶心科,0.2900112068189815,1160044.827275926
494,2020-11-18,2020-11-25,00715L_期街口S&P布蘭特油正2,0.27593288510536773,1103731.540421471
495,2020-11-25,2020-12-02,2009_第一銅,0.36974391510782345,1478975.6604312938
496,2020-11-25,2020-12-02,6488_環球晶,0.356561995778677,1426247.983114708
497,2020-11-25,2020-12-02,3228_金麗科,0.3343718843469594,1337487.5373878377
498,2020-11-25,2020-12-02,8070_長華*,0.31534766330379504,1261390.6532151802
499,2020-11-25,2020-12-02,5483_中美晶,0.25350264994490224,1014010.5997796089
500,2020-12-02,2020-12-09,4961_天鈺,0.43443185295598385,1737727.4118239353
501,2020-12-02,2020-12-09,3059_華晶科,0.29390033492337353,1175601.3396934941
502,2020-12-02,2020-12-09,6150_撼訊,0.2425861451111142,970344.5804444568
503,2020-12-02,2020-12-09,8027_鈦昇,0.2122823614893159,849129.4459572636
504,2020-12-02,2020-12-09,2363_矽統,0.21026246772877855,841049.8709151142
505,2020-12-09,2020-12-16,4961_天鈺,0.32312985362063196,1292519.4144825279
506,2020-12-09,2020-12-16,5386_青雲,0.229557123529033,918228.494116132
507,2020-12-09,2020-12-16,6129_普誠,0.22856508843375845,914260.3537350338
508,2020-12-09,2020-12-16,2014_中鴻,0.209188760249863,836755.040999452
509,2020-12-09,2020-12-16,2345_智邦,0.16938172565918852,677526.9026367541
510,2020-12-16,2020-12-23,2009_第一銅,0.41005453809863956,1640218.1523945583
511,2020-12-16,2020-12-23,5608_四維航,0.3987714276525265,1595085.710610106
512,2020-12-16,2020-12-23,6237_驊訊,0.2846310900446605,1138524.360178642
513,2020-12-16,2020-12-23,2609_陽明,0.27783103953185284,1111324.1581274113
514,2020-12-16,2020-12-23,3545_敦泰,0.23402211010742202,936088.4404296881
515,2020-12-23,2020-12-30,2609_陽明,0.33884912426898417,1355396.4970759368
516,2020-12-23,2020-12-30,6129_普誠,0.3003437961976141,1201375.1847904564
517,2020-12-23,2020-12-30,2641_正德,0.27607830713467063,1104313.2285386825
518,2020-12-23,2020-12-30,6237_驊訊,0.23875733075922723,955029.3230369089
519,2020-12-23,2020-12-30,2603_長榮,0.2356082437618654,942432.9750474616
520,2020-12-30,2021-01-06,2328_廣宇,0.3622269533883229,1448907.8135532916
521,2020-12-30,2021-01-06,3380_明泰,0.2399586683467414,959834.6733869656
522,2020-12-30,2021-01-06,3552_同致,0.2398955553524802,959582.2214099207
523,2020-12-30,2021-01-06,5243_乙盛-KY,0.19991651857442183,799666.0742976873
524,2020-12-30,2021-01-06,4961_天鈺,0.1880886226984988,752354.4907939952
525,2021-01-06,2021-01-13,4760_勤凱,0.32429282779911595,1297171.3111964639
526,2021-01-06,2021-01-13,2401_凌陽,0.3090389209729305,1236155.683891722
527,2021-01-06,2021-01-13,2354_鴻準,0.29803046025806346,1192121.8410322538
528,2021-01-06,2021-01-13,6415_矽力*-KY,0.21418217068848477,856728.6827539391
529,2021-01-06,2021-01-13,4968_立積,0.20983406718755937,839336.2687502375
530,2021-01-13,2021-01-20,3003_健和興,0.23944267640210848,957770.7056084339
531,2021-01-13,2021-01-20,2328_廣宇,0.19113937014950944,764557.4805980377
532,2021-01-13,2021-01-20,2441_超豐,0.16987583203749534,679503.3281499813
533,2021-01-13,2021-01-20,8464_億豐,0.09025481564810756,361019.2625924302
534,2021-01-13,2021-01-20,4968_立積,0.08740145330867932,349605.8132347173
535,2021-01-20,2021-01-27,4576_大銀微系統,0.49120083228575173,1964803.3291430068
536,2021-01-20,2021-01-27,3552_同致,0.3449938093588716,1379975.2374354864
537,2021-01-20,2021-01-27,6533_晶心科,0.2032951664533451,813180.6658133804
538,2021-01-20,2021-01-27,3680_家登,0.19612510119589266,784500.4047835707
539,2021-01-20,2021-01-27,6472_保瑞,0.1700991048907834,680396.4195631336
540,2021-01-27,2021-02-03,6485_點序,0.21598613722242876,863944.5488897151
541,2021-01-27,2021-02-03,2409_友達,0.21048784572499146,841951.3828999659
542,2021-01-27,2021-02-03,6547_高端疫苗,0.1469101467527245,587640.587010898
543,2021-01-27,2021-02-03,4961_天鈺,0.14162479519446358,566499.1807778543
544,2021-01-27,2021-02-03,3023_信邦,0.10166595762271813,406663.8304908725
545,2021-02-03,2021-02-10,3169_亞信,0.20131219989539795,805248.7995815917
546,2021-02-03,2021-02-10,6547_高端疫苗,0.1989276294083393,795710.5176333572
547,2021-02-03,2021-02-10,4961_天鈺,0.17322425454953527,692897.0181981411
548,2021-02-03,2021-02-10,6485_點序,0.1291609043836235,516643.61753449397
549,2021-02-03,2021-02-10,3483_力致,0.12486428039824204,499457.1215929682
550,2021-02-10,2021-02-17,00637L_元大滬深300正2,0.13183031550509794,527321.2620203918
551,2021-02-10,2021-02-17,00655L_國泰中國A50正2,0.12886620139581262,515464.8055832505
552,2021-02-10,2021-02-17,00633L_富邦上証正2,0.12837843526116477,513513.74104465905
